Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
189,https://github.com/yangcan2017/text-detection-ctpn/commit/30d3c59a59fb8926aea1ecb21c866240accc2a5a,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,,,,,Rater_0Rater_1,,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,
194,https://github.com/alorozco53/text-detection-ctpn/commit/f90326f68522f3af3e4cdf5688138685de66bace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,,
221,https://github.com/ruqiang826/TensorBox/commit/8dee2634c679708c835d0dfcec57b7f1f0d87c8b,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,Rater_0Rater_1,,,,
