Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
238,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/ed57fcc87760e96525a0b9bd5bcca0d9bd7d6519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
241,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/e265b7bad6ee3b61593157fb346f5cdb228104fb,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
244,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/74cfb996607ed223a69ed305a139b5eb5b79302f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,Rater_1Rater_0,,,,,,
248,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/e798df10742241f1ec57031792b6fb24576a6ee1,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,Rater_1Rater_0,,,,,,
250,https://github.com/MaybeShewill-CV/CRNN_Tensorflow/commit/39a146f6d8a762b408dea1a85d3f6078f8f681ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
262,https://github.com/GeorgeSeif/Semantic-Segmentation-Suite/commit/88f5f23b6d099d657ad1575a171075bffbc31d10,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
321,https://github.com/AlexEMG/DeepLabCut/commit/8ae677849286a7b3f7a050f986dad895f362422f,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,
