Index,sample_url,feature,platform,bug fix,debug,cross,preprocessing,model chng,training chng,accuracy,performance,security,maintenance,add module,move module,remove module,split module,add package,remove package,update package,licence,clean up,token replace,refactor,indent,branch,external,merge,versionning,source control,build_config,testing,documentation,internationalization,input data,output data,program data,exploit additionnal data,understanding,param tinkering,sharing,Compatibility Fix,param list chng,add config,adding_regenerated code files,change_of_file_permission_or_encoding,copy_and_customize_module,evaluation_code_change,visual_output_change
8,https://github.com/endernewton/tf-faster-rcnn/commit/82427e909a6020ef6ccbde0d8ab9009b2b1f5fed,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,https://github.com/davidsandberg/facenet/commit/766220e3552af144105c3fc3b61334becb5a6913,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,https://github.com/google/youtube-8m/commit/c16fc3e75f179ce0bd35a7704c2332267a53ee85,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,https://github.com/wilkenshuang/facenet/commit/9f2b9a693ab7277b215ef9a97f7c8086cdf7fff9,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,https://github.com/scisofttools/DeepLabCut/commit/8397bdabd84ce70da07fa7bd1e5aeebaad25b8bc,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,Rater_0Rater_1,,Rater_0Rater_1,,,,Rater_0Rater_1,,,Rater_0Rater_1,,Rater_0Rater_1,,,,Rater_0Rater_1,,Rater_0Rater_1,,,,,,,Rater_0Rater_1,Rater_0Rater_1,,
251,https://github.com/andersio/subpixel/commit/ebeb264ee31532dbe26fdd0f3be253ce785c67e9,,,,,,,,,,,,,,,,,,,Rater_0Rater_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,https://github.com/mmmatthew/watsen/commit/0913c1434f8dbb67b5d52e509f024ff835065d85,,,,,,,,,,,,,,,,,Rater_1Rater_0,,Rater_1Rater_0,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,
375,https://github.com/1Chic/Realtime_Multi-Person_Pose_Estimation/commit/828078689090a64c63e44fcd8e86fc72de72a545,,,,,,,,,,,,,,,,,,,Rater_1Rater_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
